link,views,likes
https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care,880000,26000
https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty,1500000,47000
https://ted.com/talks/charlie_puth_you_and_i_attention,19000,580
https://ted.com/talks/bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry,825000,24000
https://ted.com/talks/pardis_parker_i_m_tired_of_people_telling_me_to_grind,90000,2700
https://ted.com/talks/axel_reinaud_how_biochar_removes_co2_from_the_air_and_helps_farmers_thrive,888000,26000
https://ted.com/talks/brittany_k_barnett_the_creativity_innovation_and_ingenuity_languishing_in_us_prisons,839000,25000
https://ted.com/talks/liu_thai_ker_the_architectural_mastermind_behind_modern_singapore,951000,28000
https://ted.com/talks/iseult_gillespie_the_myth_of_loki_s_monstrous_children,761000,22000
https://ted.com/talks/warren_valdmanis_what_makes_a_job_good_and_the_case_for_investing_in_people,992000,29000
https://ted.com/talks/sophia_kianni_language_shouldn_t_be_a_barrier_to_climate_action,861000,25000
https://ted.com/talks/american_family_insurance_human_centered_justice,11000,342
https://ted.com/talks/noah_charney_why_is_the_mona_lisa_so_famous,1100000,33000
https://ted.com/talks/anna_malaika_tubbs_how_moms_shape_the_world,864000,25000
https://ted.com/talks/priscilla_chomba_kinywa_why_a_free_and_fair_internet_is_more_vital_than_ever,1100000,33000
https://ted.com/talks/countdown_it_s_time_to_write_a_new_climate_story,11000,332
https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam,724000,21000
https://ted.com/talks/matt_walker_4_ways_the_covid_19_pandemic_changed_the_way_we_sleep,295000,8800
https://ted.com/talks/doug_mackay_you_can_only_save_one_who_do_you_choose,1300000,40000
https://ted.com/talks/jamil_zaki_how_to_escape_the_cynicism_trap,1100000,33000
https://ted.com/talks/halla_tomasdottir_use_your_voice_vote_and_wallet_for_climate_action,969000,29000
https://ted.com/talks/gowri_shankar_a_king_cobra_bite_and_a_scientific_discovery,1000000,30000
https://ted.com/talks/virginia_smith_how_we_could_better_predict_and_stop_floods,986000,29000
https://ted.com/talks/jim_hagemann_snabe_dreams_and_details_for_a_decarbonized_future,837000,25000
https://ted.com/talks/ned_blackhawk_and_jeffrey_d_means_the_dark_history_of_mount_rushmore,527000,15000
https://ted.com/talks/karen_lellouche_tordjman_siri_alexa_google_what_comes_next,1000000,32000
https://ted.com/talks/tom_osborn_a_new_way_to_help_young_people_with_their_mental_health,1000000,32000
https://ted.com/talks/matt_walker_how_to_deal_with_your_insomnia_and_finally_get_to_sleep,311000,9300
https://ted.com/talks/steve_rothstein_would_you_raise_the_bird_that_murdered_your_children,1200000,37000
https://ted.com/talks/vishaan_chakrabarti_a_vision_of_sustainable_housing_for_all_of_humanity,1000000,30000
https://ted.com/talks/joan_as_police_woman_your_song_real_life,3800,115
https://ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic,1100000,33000
https://ted.com/talks/elizabeth_zion_the_need_for_family_reunification_to_make_families_whole_again,1000000,31000
https://ted.com/talks/makhtoum_abdalla_education_is_a_fundamental_right_for_every_child,1000000,32000
https://ted.com/talks/jane_velkovski_the_life_changing_power_of_assistive_technologies,1000000,31000
https://ted.com/talks/peachy_liv_how_to_protect_your_mental_well_being_online_from_a_gen_zer,981000,29000
https://ted.com/talks/nkosilathi_nyathi_a_next_generation_solution_to_climate_crisis,200000,6000
https://ted.com/talks/valerie_june_astral_plane,2500,76
https://ted.com/talks/sandrine_dixson_decleve_5_keys_to_shifting_to_a_well_being_economy_and_the_cost_of_inaction,4900,147
https://ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education,1100000,34000
https://ted.com/talks/adam_clulow_how_one_of_the_most_profitable_companies_in_history_rose_to_power,635000,19000
https://ted.com/talks/eric_hinterman_how_going_to_mars_improves_life_on_earth,1000000,32000
https://ted.com/talks/francisca_mutapi_africans_should_lead_on_health_care_solutions_for_africa,4000,120
https://ted.com/talks/kathryn_kolbert_the_end_of_roe_v_wade_and_what_comes_next_for_reproductive_freedom,1000000,32000
https://ted.com/talks/nyra_jordan_4_steps_to_hiring_fairly_and_supporting_criminal_justice_reform,1100000,33000
https://ted.com/talks/matt_walker_how_sleep_affects_what_and_how_much_you_eat,315000,9400
https://ted.com/talks/fabio_pacucci_yes_scientists_are_actually_building_an_elevator_to_space,714000,21000
https://ted.com/talks/maria_van_kerkhove_how_to_end_the_pandemic_and_prepare_for_the_next,1200000,36000
https://ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world,1200000,38000
https://ted.com/talks/dawn_lippert_community_investment_is_the_missing_piece_of_climate_action,1000000,32000
https://ted.com/talks/shabana_basij_rasikh_the_dream_of_educating_afghan_girls_lives_on,1400000,44000
https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain,1400000,44000
https://ted.com/talks/sheila_marie_orfano_and_densho_can_stereotypes_ever_be_good,475000,14000
https://ted.com/talks/james_rhee_the_value_of_kindness_at_work,1300000,41000
https://ted.com/talks/matt_walker_what_is_melatonin_and_should_you_take_it_to_fall_asleep,422000,12000
https://ted.com/talks/madhavi_venkatesan_the_life_cycle_of_a_pair_of_jeans,315000,9400
https://ted.com/talks/mona_chalabi_is_it_really_that_bad_to_marry_my_cousin,277000,8300
https://ted.com/talks/shweta_narayan_it_s_impossible_to_have_healthy_people_on_a_sick_planet,1200000,36000
https://ted.com/talks/matt_walker_the_surprising_health_benefits_of_dreaming,357000,10000
https://ted.com/talks/xiye_bastida_shiv_soin_and_latif_nasser_dear_world_leaders_these_are_our_climate_demands,260000,7800
https://ted.com/talks/al_roker_al_gore_david_biello_and_latif_nasser_the_science_of_extreme_weather_and_how_to_reduce_the_harm,331000,9900
https://ted.com/talks/luka_seamus_wright_the_wild_sex_lives_of_marine_creatures,543000,16000
https://ted.com/talks/nemonte_nenquimo_the_forest_is_our_teacher_it_s_time_to_respect_it,1000000,32000
https://ted.com/talks/mona_chalabi_how_accurate_is_the_weather_forecast,237000,7100
https://ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis,1200000,36000
https://ted.com/talks/joshua_chu_tan_the_science_of_preserving_sight,1200000,36000
https://ted.com/talks/alex_rosenthal_can_you_solve_the_human_cannonball_riddle,441000,13000
https://ted.com/talks/rainn_wilson_can_climate_change_ever_be_funny_17_comedians_try_to_answer,7100,214
https://ted.com/talks/aicha_evans_your_self_driving_robotaxi_is_almost_here,1300000,40000
https://ted.com/talks/lucas_c_majure_nature_s_fortress_how_cacti_keep_water_in_and_predators_out,463000,13000
https://ted.com/talks/larry_irvin_a_program_to_empower_black_teachers_in_the_us,1200000,37000
https://ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth,1200000,36000
https://ted.com/talks/matt_walker_are_naps_actually_good_for_us,485000,14000
https://ted.com/talks/tyrone_davis_jr_i_can_see_clearly_now,6200,186
https://ted.com/talks/kimberose_back_on_my_feet,3000,91
https://ted.com/talks/jodie_houlston_lau_how_to_make_a_sad_story_funny,340000,10000
https://ted.com/talks/nili_gilbert_the_crucial_intersection_of_climate_and_capital,1200000,37000
https://ted.com/talks/mona_chalabi_which_box_do_i_check,227000,6800
https://ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation,1900000,57000
https://ted.com/talks/gavin_mccormick_tracking_the_whole_world_s_carbon_emissions_with_satellites_and_ai,1300000,39000
https://ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them,1300000,39000
https://ted.com/talks/ilan_stavans_the_twins_who_tricked_the_maya_gods_of_death,860000,25000
https://ted.com/talks/naima_penniman_being_human,1200000,36000
https://ted.com/talks/children_of_palau_leave_only_footprints_that_will_wash_away,205000,6100
https://ted.com/talks/derek_sarno_the_many_reasons_to_eat_a_plant_based_diet,1000000,32000
https://ted.com/talks/farwiza_farhan_the_powerful_women_on_the_front_lines_of_climate_action,1000000,32000
https://ted.com/talks/enric_sala_a_bold_plan_to_protect_30_percent_of_the_earth_s_surface_and_ocean_floor,1000000,30000
https://ted.com/talks/chibeze_ezekiel_a_vision_for_sustainable_energy_in_africa,221000,6600
https://ted.com/talks/anil_seth_how_your_brain_invents_your_self,1500000,47000
https://ted.com/talks/matt_walker_why_better_sleep_means_a_better_sex_life,463000,13000
https://ted.com/talks/alayna_vaughan_why_do_some_people_snore_so_loudly,406000,12000
https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change,1200000,38000
https://ted.com/talks/mona_chalabi_how_did_we_get_fertility_so_wrong,276000,8200
https://ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop,1300000,39000
https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces,1200000,36000
https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition,1400000,42000
https://ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable,475000,14000
https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why,1300000,39000
https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help,1400000,42000
https://ted.com/talks/matt_walker_how_daylight_saving_time_affects_our_bodies_minds_and_world,368000,11000
https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal,1500000,47000
https://ted.com/talks/brian_christian_how_to_get_better_at_video_games_according_to_babies,486000,14000
https://ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average,355000,10000
https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business,1400000,42000
https://ted.com/talks/countdown_what_is_cop26,256000,7700
https://ted.com/talks/ted_countdown_global_livestream_2021,6100000,183000
https://ted.com/talks/countdown_the_55_gigaton_challenge,269000,8000
https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories,1100000,33000
https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero,1300000,41000
https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now,1500000,46000
https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be,1400000,42000
https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings,1500000,45000
https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city,1200000,38000
https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead,1300000,41000
https://ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons,5300,161
https://ted.com/talks/daniel_sperling_and_gil_tal_the_surprisingly_long_history_of_electric_cars,367000,11000
https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges,1300000,39000
https://ted.com/talks/mona_chalabi_do_9_out_of_10_dentists_really_recommend_that_toothpaste,154000,4600
https://ted.com/talks/countdown_summit_what_to_expect_from_cop26,28000,854
https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future,1100000,33000
https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace,1100000,34000
https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right,1400000,43000
https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals,1200000,36000
https://ted.com/talks/helen_farr_and_jon_adams_why_is_this_2_500_year_old_shipwreck_so_well_preserved,414000,12000
https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare,1400000,43000
https://ted.com/talks/mona_chalabi_what_makes_a_friendship_last,286000,8500
https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need,1400000,42000
https://ted.com/talks/james_tanton_can_you_solve_the_risky_disk_riddle,578000,17000
https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals,1700000,51000
https://ted.com/talks/mona_chalabi_how_long_does_it_take_to_get_over_a_breakup,310000,9300
https://ted.com/talks/the_hartford_the_small_business_hustle,132000,3900
https://ted.com/talks/dan_kwartler_why_don_t_we_cover_the_desert_with_solar_panels,2800000,86000
https://ted.com/talks/shu_matsuo_post_why_paternity_leave_benefits_everyone,1100000,34000
https://ted.com/talks/ted_audio_collective_introducing_am_i_normal_with_mona_chalabi,1000000,32000
https://ted.com/talks/tzeporah_berman_the_bad_math_of_the_fossil_fuel_industry,1500000,46000
https://ted.com/talks/countdown_summit_decarbonizing_fossil_fuels,62000,1800
https://ted.com/talks/tanya_boucicaut_can_love_and_independence_coexist,310000,9300
https://ted.com/talks/jenna_c_lester_why_skin_disease_is_often_misdiagnosed_in_darker_skin_tones,1300000,39000
https://ted.com/talks/hrishikesh_hirway_what_you_discover_when_you_really_listen,1700000,51000
https://ted.com/talks/monica_araya_the_billion_dollar_campaign_to_electrify_transport,1300000,41000
https://ted.com/talks/melati_wijsen_a_roadmap_for_young_changemakers,1500000,45000
https://ted.com/talks/andrea_vilallonga_desarrollar_nuestro_capital_erotico,1600000,50000
https://ted.com/talks/carol_farbotko_and_ingrid_boas_where_will_you_be_able_to_live_in_20_years,498000,14000
https://ted.com/talks/monday_com_relief_to_recovery,6000,181
https://ted.com/talks/cindy_solomon_5_tips_for_dealing_with_meeting_overload,1500000,46000
https://ted.com/talks/steven_johnson_how_humanity_doubled_life_expectancy_in_a_century,1800000,55000
https://ted.com/talks/geoff_emberling_what_happened_to_the_lost_kingdom_of_kush,732000,21000
https://ted.com/talks/charlotte_degot_a_more_accurate_way_to_calculate_emissions,1400000,43000
https://ted.com/talks/mads_tang_christensen_the_brain_science_of_obesity,1700000,52000
https://ted.com/talks/devin_shuman_the_genes_you_don_t_get_from_your_parents_but_can_t_live_without,1500000,47000
https://ted.com/talks/kayvon_tehranian_how_nfts_are_building_the_internet_of_the_future,1700000,52000
https://ted.com/talks/amber_hikes_want_to_truly_succeed_lift_others_up_while_you_climb,1700000,52000
https://ted.com/talks/olivia_affuso_3_ways_community_creates_a_healthy_life,1400000,44000
https://ted.com/talks/diane_j_rayor_ancient_greece_s_greatest_popstar,298000,8900
https://ted.com/talks/lizzo_the_black_history_of_twerking_and_how_it_taught_me_self_love,1700000,52000
https://ted.com/talks/karoli_hindriks_why_the_passport_needs_an_upgrade,1500000,46000
https://ted.com/talks/rebecca_galemba_how_employers_steal_from_workers_and_get_away_with_it_jan_2021,1500000,47000
https://ted.com/talks/abdallah_ewis_the_forgotten_queen_of_egypt,842000,25000
https://ted.com/talks/ashley_whillans_3_rules_for_better_work_life_balance,2600000,79000
https://ted.com/talks/nabiha_saklayen_could_you_recover_from_illness_using_your_own_stem_cells,1800000,55000
https://ted.com/talks/alex_rosenthal_can_you_solve_the_rogue_submarine_riddle_difficulty_level_master,735000,22000
https://ted.com/talks/wendy_macnaughton_the_art_of_paying_attention,2000000,62000
https://ted.com/talks/ryan_phelan_the_intended_consequences_of_helping_nature_thrive,1500000,47000
https://ted.com/talks/hanako_sawada_the_secrets_of_the_world_s_most_famous_symphony,1100000,34000
https://ted.com/talks/richard_wilkinson_the_link_between_inequality_and_anxiety,1600000,49000
https://ted.com/talks/liam_young_planet_city_a_sci_fi_vision_of_an_astonishing_regenerative_future,1600000,50000
https://ted.com/talks/jamie_c_beard_the_untapped_energy_source_that_could_power_the_planet,1800000,56000
https://ted.com/talks/kayla_mandel_sheets_you_could_have_a_secret_twin_but_not_the_way_you_think,2100000,63000
https://ted.com/talks/alex_smith_an_nfl_quarterback_on_overcoming_setbacks_and_self_doubt,2000000,60000
https://ted.com/talks/nicole_maines_the_trans_story_includes_you,1600000,48000
https://ted.com/talks/nancy_n_chen_the_inaccurate_link_between_body_ideals_and_health,1700000,53000
https://ted.com/talks/zoe_pierrat_earth_s_mysterious_red_glow_explained,583000,17000
https://ted.com/talks/alicia_chong_rodriguez_a_smart_bra_for_better_heart_health,1500000,47000
https://ted.com/talks/katie_mack_life_altering_questions_about_the_end_of_the_universe,1800000,55000
https://ted.com/talks/martin_hilpert_what_makes_a_language_a_language,655000,19000
https://ted.com/talks/stephanie_kelton_the_big_myth_of_government_deficits,1700000,53000
https://ted.com/talks/chen_qiufan_a_sci_fi_vision_of_life_in_2041,1800000,54000
https://ted.com/talks/pekka_hamalainen_the_rise_and_fall_of_the_lakota_empire,474000,14000
https://ted.com/talks/adam_grant_how_to_stop_languishing_and_start_finding_flow,2600000,80000
https://ted.com/talks/susan_graham_a_new_way_to_restore_earth_s_biodiversity_from_the_air,480000,14000
https://ted.com/talks/sarah_e_tracy_what_is_msg_and_is_it_actually_bad_for_you,2100000,64000
https://ted.com/talks/climate_action_tracker_the_state_of_the_climate_crisis_in_2021,422000,12000
https://ted.com/talks/german_santillan_a_taste_of_mexico_s_ancient_chocolate_making_tradition,1600000,48000
https://ted.com/talks/soraya_field_fiorio_the_infamous_overpopulation_bet_simon_vs_ehrlich,518000,15000
https://ted.com/talks/steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss,1500000,47000
https://ted.com/talks/freeman_h_shen_a_future_with_fewer_cars,1600000,48000
https://ted.com/talks/nigel_hughes_is_this_the_most_successful_animal_ever,458000,13000
https://ted.com/talks/helene_morlon_and_anna_papadopoulou_how_we_can_detect_pretty_much_anything,313000,9400
https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_slippery_slope_fallacy,649000,19000
https://ted.com/talks/kaitlyn_sadtler_and_elizabeth_wayne_how_the_covid_19_vaccines_were_created_so_quickly,1300000,41000
https://ted.com/talks/dan_sayers_the_secret_society_of_the_great_dismal_swamp,273000,8200
https://ted.com/talks/amir_nizar_zuabi_walk_with_little_amal_a_theatrical_journey_celebrating_the_refugee_experience,1600000,50000
https://ted.com/talks/kevin_j_krizek_how_covid_19_reshaped_us_cities,1500000,46000
https://ted.com/talks/dan_finkel_can_you_solve_the_giant_spider_riddle,2200000,67000
https://ted.com/talks/ma_jun_an_interactive_map_to_track_and_end_pollution_in_china,1800000,56000
https://ted.com/talks/jim_chuchu_why_are_stolen_african_artifacts_still_in_western_museums,1600000,48000
https://ted.com/talks/clara_sousa_silva_the_fingerprints_of_life_beyond_earth,1800000,55000
https://ted.com/talks/james_a_smith_the_method_that_can_prove_almost_anything,776000,23000
https://ted.com/talks/kathryn_a_whitehead_the_tiny_balls_of_fat_that_could_revolutionize_medicine,1800000,55000
https://ted.com/talks/loretta_j_ross_don_t_call_people_out_call_them_in,1800000,55000
https://ted.com/talks/christopher_e_gaw_what_causes_seizures_and_how_can_we_treat_them,482000,14000
https://ted.com/talks/ugur_sahin_and_ozlem_tureci_meet_the_scientist_couple_driving_an_mrna_vaccine_revolution,2100000,63000
https://ted.com/talks/kim_stanley_robinson_remembering_climate_change_a_message_from_the_year_2071,1600000,50000
https://ted.com/talks/jota_samper_the_informal_settlements_reshaping_the_world,1600000,49000
https://ted.com/talks/jean_baptiste_p_koehl_iceland_s_superpowered_underground_volcanoes,425000,12000
https://ted.com/talks/miracle_jones_the_radical_revolutionary_resilience_of_black_joy,1500000,46000
https://ted.com/talks/gilad_bino_a_year_in_the_life_of_one_of_earth_s_weirdest_animals,732000,21000
https://ted.com/talks/nigel_topping_3_rules_for_a_zero_carbon_world,1600000,49000
https://ted.com/talks/armand_d_angour_the_ancient_origins_of_the_olympics,3600000,110000
https://ted.com/talks/andrew_mcdonald_the_rise_and_fall_of_the_kingdom_of_man,920000,27000
https://ted.com/talks/emma_marris_are_wild_animals_really_wild,1400000,43000
https://ted.com/talks/molly_wright_how_every_child_can_thrive_by_five,5900000,177000
https://ted.com/talks/marcus_du_sautoy_the_paradox_at_the_heart_of_mathematics_godel_s_incompleteness_theorem,2000000,61000
https://ted.com/talks/sasha_sarago_the_de_colonizing_of_beauty,1600000,48000
https://ted.com/talks/alok_sharma_why_cop26_is_our_best_chance_for_a_greener_future,1600000,48000
https://ted.com/talks/candis_watts_smith_3_myths_about_racism_that_keep_the_us_from_progress,1800000,55000
https://ted.com/talks/jonathan_smith_how_do_governments_create_money_out_of_thin_air,781000,23000
https://ted.com/talks/claire_malone_the_missing_96_percent_of_the_universe,1800000,55000
https://ted.com/talks/lukas_rieppel_the_most_notorious_scientific_feud_in_history,1000000,30000
https://ted.com/talks/andrea_berchowitz_the_link_between_menopause_and_gender_inequity_at_work,1600000,48000
https://ted.com/talks/almudena_toral_documentary_films_that_explore_trauma_and_make_space_for_healing,1700000,52000
https://ted.com/talks/georges_nzongola_ntalaja_history_s_deadliest_king,1100000,33000
https://ted.com/talks/jen_gunter_a_cleanse_won_t_detox_your_body_but_here_s_what_will,2700000,82000
https://ted.com/talks/jorge_manes_rubio_what_should_humans_take_to_space_and_leave_behind,1500000,47000
https://ted.com/talks/stefan_al_could_we_build_a_wooden_skyscraper,1200000,38000
https://ted.com/talks/sean_sherman_why_aren_t_there_more_native_american_restaurants,1900000,58000
https://ted.com/talks/bjorn_ulvaeus_how_music_streaming_transformed_songwriting,1700000,53000
https://ted.com/talks/jen_gunter_what_s_normal_anxiety_and_what_s_an_anxiety_disorder,1700000,52000
https://ted.com/talks/robert_chang_the_dark_history_of_the_chinese_exclusion_act,722000,21000
https://ted.com/talks/laura_tenenbaum_what_if_we_saw_climate_change_as_an_amazing_challenge_not_a_burden,47000,1400
https://ted.com/talks/zahra_al_mahdi_the_infinite_alchemy_of_storytelling,1600000,49000
https://ted.com/talks/the_ted_interview_how_to_turn_grit_into_a_lifelong_habit_angela_duckworth,1500000,45000
https://ted.com/talks/anne_scherer_why_we_re_more_honest_with_machines_than_people,1800000,54000
https://ted.com/talks/darien_satterfield_real_life_alien_jaws,289000,8600
https://ted.com/talks/iseult_gillespie_how_one_person_saved_over_2_000_children_from_the_nazis,1200000,36000
https://ted.com/talks/kathy_hannun_how_to_heat_your_home_without_hurting_the_planet,1500000,47000
https://ted.com/talks/clover_hogan_what_to_do_when_climate_change_feels_unstoppable,1800000,55000
https://ted.com/talks/shravan_s_k_can_you_cheat_death_by_solving_this_riddle,3300000,101000
https://ted.com/talks/jen_gunter_5_skin_health_myths_to_stop_believing_now,1000000,30000
https://ted.com/talks/aparna_hegde_the_life_saving_tech_helping_mothers_make_healthy_decisions,1500000,45000
https://ted.com/talks/luis_zambrano_these_salamanders_snack_on_each_other_but_don_t_die,3300000,100000
https://ted.com/talks/sarah_rugheimer_the_search_for_microscopic_aliens,1600000,48000
https://ted.com/talks/haimanti_roy_why_was_india_split_into_two_countries,1700000,51000
https://ted.com/talks/robert_a_belle_the_emotions_behind_your_money_habits,1900000,59000
https://ted.com/talks/khadijah_tribble_how_marijuana_reform_could_repair_reclaim_and_restore_communities,1600000,48000
https://ted.com/talks/meg_jacobs_what_few_people_know_about_the_program_that_saved_america,344000,10000
https://ted.com/talks/jen_gunter_can_you_actually_boost_your_immune_system_here_s_the_truth,711000,21000
https://ted.com/talks/itamar_mann_a_new_approach_to_defending_the_human_rights_of_migrants,1500000,45000
https://ted.com/talks/david_kessler_how_to_find_meaning_after_loss,1500000,47000
https://ted.com/talks/francis_de_los_reyes_a_brief_history_of_toilets,2800000,86000
